Kailahun	-10.64575395427766	8.12909072628681
Kenema	-11.165743443273726	7.8969952323104
Kono	-10.866380134467137	8.683284074462499
Bombali	-12.203869807794225	9.29372605625891
Koinadugu	-11.30209572341162	9.32980418291753
Tonkolili	-11.7	8.75
Bo	-11.737348791028628	7.9204068540007535
WesternUrban	-13.266763584514601	8.466011729438819
Kambia	-13.080379875436906	9.002101641508855
Pujehun	-11.5	7.3
WesternRural	-13.13554167592954	8.323558437030467
Moyamba	-12.55	8
PortLoko	-12.7	8.65
Bonthe	-12.2	7.5
