Peptide	ControlCount	SampleCount	ControlZ	SampleZ
PV2_002983	19.04	3.92	0.598012	-1.3141
PV2_002984	8.57	13.72	-1.52413	1.45339
PV2_002985	19.99	10.78	0.849379	0.480915
PV2_002986	10.47	8.82	-0.596281	0.303399
PV2_002987	24.28	5.88	1.3685	-0.715034
PV2_002988	33.8	6.86	0.327048	-1.14144
PV2_002989	62.84	11.76	1.67946	-0.567178
PV2_002990	102.35	14.7	4.10124	-0.480704
PV2_002991	31.42	7.84	-0.321225	-0.885365
PV2_002992	49.98	7.84	-1.2792	-1.34497
PV2_002993	89.49	17.64	0.0253015	0.197959
PV2_002994	189.46	20.58	1.54227	0.16703
PV2_002995	75.21	16.66	-0.461552	0.213768
PV2_002996	88.07	11.76	-1.5804	-1.29103
PV2_002997	58.55	305.82	-0.61397	60.37
PV2_002998	24.28	6.86	1.89929	-0.560289
PV2_002999	4.76	0	0.872917	-1.74388
PV2_003000	202.32	15.68	1.94492	-1.51704
PV2_003001	117.11	8.82	1.29818	-1.97556
PV2_003002	34.75	14.7	1.01411	1.20839
PV2_003003	130.91	13.72	-0.179332	-1.41637
PV2_003004	73.79	18.62	-0.993293	0.0700769
PV2_003005	398.92	33.33	0.306796	-2.40799
PV2_003006	48.56	7.84	1.74632	-1.38276
PV2_003007	76.64	15.68	1.69127	0.367375
PV2_003008	39.51	13.72	1.8286	0.510471
PV2_003009	3.81	5.88	-0.256522	0.119542
PV2_003010	123.77	26.46	1.21816	1.43448
PV2_003011	35.23	5.88	-1.00982	-1.3113
PV2_003012	113.77	12.74	1.2241	-1.40763
PV2_003013	99.97	17.64	1.0481	-0.125339
PV2_003014	230.88	296.02	0.122525	24.076
PV2_003015	181.85	34.31	0.998087	0.401466
PV2_003016	38.56	6.86	0.0551027	-1.13487
PV2_003017	74.74	25.48	0.0130165	1.8025
PV2_003018	110.92	27.45	3.2027	2.15845
PV2_003019	103.78	16.66	0.707816	0.150875
PV2_003020	178.04	23.52	0.393303	0.287136
PV2_003021	21.9	8.82	1.28632	-0.127384
PV2_003022	8.57	2.94	-0.347931	-0.955391
PV2_003023	240.87	30.39	-1.49749	-1.6474
PV2_003024	135.67	12.74	3.01748	-1.95968
PV2_003025	46.18	20.58	0.78025	2.38841
PV2_003026	1.43	7.84	-2.39323	0.544205
PV2_003027	3.81	3.92	-1.64031	-0.631022
PV2_003028	30.47	8.82	-2.00332	-1.06828
PV2_003029	305.62	47.05	0.339165	0.870888
PV2_003030	96.64	18.62	-0.17757	0.400498
PV2_003031	28.56	13.72	0.148371	0.841095
PV2_003032	139	17.64	0.775672	-0.608061
PV2_003033	38.08	10.78	-3.01903	-0.432915
PV2_003034	103.3	21.56	0.144814	0.242841
PV2_003035	74.26	10.78	-0.999715	-1.51052
PV2_003036	82.35	17.64	2.74539	0.2302
PV2_003037	139.48	27.45	3.15361	1.70788
PV2_003038	7.14	49.99	1.01081	12.2535
PV2_003039	22.85	3.92	2.90911	-0.987087
PV2_003040	180.42	33.33	0.881502	0.279843
PV2_003041	47.6	20.58	-1.65421	1.55454
PV2_003042	47.13	10.78	0.641894	-0.301936
PV2_003043	144.72	14.7	1.78465	-0.437722
PV2_003044	104.73	15.68	-0.495925	-1.20317
PV2_003045	65.22	11.76	4.57781	0.157449
PV2_003046	50.94	10.78	-1.50063	-0.577183
PV2_003047	59.03	15.68	1.28017	0.257431
PV2_003048	138.05	26.46	0.518236	0.563426
PV2_003049	34.75	3.92	-0.0360552	-1.51927
PV2_003050	28.09	13.72	-1.94061	0.657591
PV2_003051	0	0	0.229371	-0.751938
PV2_003052	76.17	6.86	0.71029	-1.73933
PV2_003053	38.08	6.86	2.43969	-0.871771
PV2_003054	38.08	13.72	1.55156	0.618422
PV2_003055	15.71	15.68	-1.17725	1.5125
PV2_003056	24.75	7.84	1.4513	-0.3236
PV2_003057	48.08	7.84	1.63366	-1.39368
PV2_003058	31.89	4.9	3.66551	-1.21798
PV2_003059	22.37	11.76	-1.48713	0.558667
PV2_003060	12.85	584.19	-1.369	154.882
PV2_003061	123.77	17.64	0.394642	-0.378392
PV2_003062	9.52	256.81	0.324626	67.2911
PV2_003063	5.71	15.68	-2.99024	1.90419
PV2_003064	48.08	472.45	0.681129	108.28
PV2_003065	53.79	13.72	-0.788316	-0.185618
PV2_003066	275.15	32.35	0.457578	-2.5247
PV2_003067	12.85	5.88	1.18283	-0.517076
PV2_003068	16.19	13.72	1.4148	1.40446
PV2_003069	8.09	5.88	-1.7907	-0.358995
PV2_003070	30.47	30.39	-0.293521	5.03941
PV2_003071	23.8	6.86	-0.0135431	-0.519018
PV2_003072	16.19	256.81	-2.16153	58.6273
PV2_003073	37.61	18.62	-0.252336	1.58377
PV2_003074	85.21	27.45	-0.563871	1.81981
PV2_003075	11.42	19.6	-1.37746	2.41908
PV2_003076	12.38	47.05	-1.82797	10.3919
PV2_003077	172.8	21.56	0.873368	-0.335512
PV2_003078	55.7	23.52	0.786189	2.43785
PV2_003079	1.9	16.66	-1.44173	4.1019
PV2_003080	176.61	23.52	-1.16002	-1.87478
PV2_003081	25.23	70.57	2.39658	14.0381
PV2_003082	30.47	52.93	-1.9659	9.27207
PV2_003083	62.36	204.86	-0.646949	41.6574
PV2_003084	11.9	2.94	-2.62831	-1.41218
PV2_003085	31.42	36.27	1.10596	6.45035
PV2_003086	13.81	15.68	-0.0928038	1.60185
PV2_003087	58.08	56.85	1.52263	10.2689
PV2_003088	15.71	486.17	-0.448806	123.637
PV2_003089	172.8	171.53	2.73103	20.9198
PV2_003090	31.89	11.76	0.674639	0.305393
PV2_003091	10	61.75	-2.00032	11.8084
PV2_003092	23.33	201.92	-0.327744	45.4729
PV2_003093	40.94	21.56	-1.77609	2.18308
PV2_003094	68.07	633.2	-1.02397	120.276
PV2_003095	19.04	3.92	0.896377	-1.24771
PV2_003096	64.74	11.76	0.967607	-0.639374
PV2_003097	15.23	6.86	1.19731	-0.177262
PV2_003098	20.47	2161.3	-0.348861	489.594
PV2_003099	9.52	12.74	-1.20841	1.3524
PV2_003100	26.18	28.43	-2.16934	4.64722
PV2_003101	10.47	8.82	-1.25279	0.120241
PV2_003102	37.61	107.82	-0.340955	21.9631
PV2_003103	9.04	720.43	2.52781	198.436
PV2_003104	44.75	123.5	-2.15958	24.839
PV2_003105	16.19	420.5	-0.185783	110.76
PV2_003106	6.66	371.49	0.627953	101.498
PV2_003107	2.38	1508.5	0.0565094	519.328
PV2_003108	0	2.94	-0.281677	0.387556
PV2_003109	31.89	21.56	-0.931748	2.75297
PV2_003110	33.8	32.35	-0.980886	4.3916
PV2_003111	30.47	8.82	-1.88216	-0.943791
PV2_003112	38.56	178.39	-0.304331	37.7331
PV2_003113	2.86	229.36	-1.34519	55.522
PV2_003114	41.42	17.64	0.302854	1.48533
PV2_003115	3.33	694.95	1.70776	296.991
PV2_003116	52.36	141.15	0.931218	28.0543
PV2_003117	15.71	8.82	-0.232737	0.238791
PV2_003118	5.71	679.27	1.44147	167.397
PV2_003119	6.19	62.73	1.63645	14.2253
PV2_003120	113.77	570.47	0.634302	109.08
PV2_003121	111.39	275.43	-0.553102	48.5762
PV2_003122	0	634.18	-0.281677	271.819
PV2_003123	11.9	65.67	0.937906	15.3943
PV2_003124	26.18	58.81	-2.76218	10.0044
PV2_003125	13.33	66.65	1.45326	15.5421
PV2_003126	13.33	1678.07	0.869829	384.23
PV2_003127	5.24	25.48	-1.91937	5.24037
PV2_003128	9.52	768.46	-0.69368	175.196
PV2_003129	53.32	6.86	-1.91869	-1.5819
PV2_003130	18.09	1489.88	0.530956	383.475
PV2_003131	94.26	73.51	-0.415853	9.4707
PV2_003132	38.08	11.76	0.780181	0.489553
PV2_003133	29.04	17.64	-2.15433	1.41654
PV2_003134	40.46	33.33	-0.400938	5.39208
PV2_003135	38.08	16.66	-0.824265	1.54267
PV2_003136	6.19	664.56	-0.43452	157.501
PV2_003137	107.58	49.99	0.0721108	6.00844
PV2_003138	51.41	12.74	-0.362552	-0.355313
PV2_003139	25.23	9.8	3.7681	0.501447
PV2_003140	89.49	28.43	0.279503	2.26476
PV2_003141	8.09	16.66	-2.42014	2.00194
PV2_003142	94.73	171.53	2.77169	29.8912
PV2_003143	108.54	31.37	-1.44827	1.4683
PV2_003144	15.71	2.94	2.06937	-1.05819
PV2_003145	26.18	4.9	1.10032	-0.876722
PV2_003146	3.33	203.88	-0.687113	49.2762
PV2_003147	9.52	13.72	-1.33712	1.52346
PV2_003148	8.57	809.63	1.22072	192.194
PV2_003149	17.14	5.88	-3.9643	-1.09374
PV2_003150	10	10.78	-1.10188	0.804496
PV2_003151	17.61	52.93	-3.90058	10.6604
PV2_003152	32.85	8.82	3.15168	0.0773354
PV2_003153	102.82	27.45	-1.13553	1.87613
PV2_003154	26.18	7.84	-1.44324	-0.586616
PV2_003155	7.14	10.78	0.808548	1.28736
PV2_003156	19.52	1618.28	0.166182	366.508
PV2_003157	2.86	925.29	-0.759899	317.59
PV2_003158	124.72	44.11	0.352882	3.43173
PV2_003159	6.66	1191.9	0.425687	329.183
PV2_003160	115.2	68.61	0.984941	9.7433
PV2_003161	9.52	3.92	2.07271	-0.786491
PV2_003162	3.33	14.7	-2.27526	2.11722
PV2_003163	3.33	2.94	-3.09575	-0.970992
PV2_003164	11.9	9.8	-1.78284	0.395336
PV2_003165	48.08	13.72	-0.814546	0.0295029
PV2_003166	45.7	3.92	1.85844	-1.66521
PV2_003167	15.71	6.86	-0.66115	-0.566126
PV2_003168	32.85	10.78	3.43292	0.854408
PV2_003169	23.8	1567.31	-1.35305	378.858
PV2_003170	8.09	2085.83	-1.20005	548.704
PV2_003171	0	2.94	-2.29403	-0.304865
PV2_003172	4.76	397.95	1.12412	135.68
PV2_003173	20.47	742.98	-3.18582	183.824
PV2_003174	3.81	330.32	-0.0290402	80.7609
PV2_003175	14.28	8.82	-1.46571	-0.173643
PV2_003176	13.81	1877.05	1.71859	493.579
PV2_003177	43.32	309.74	3.66252	72.572
PV2_003178	13.81	13.72	-1.84897	1.08655
PV2_003179	20.95	939.02	-1.07611	219.775
PV2_003180	24.75	14.7	-1.88096	1.09793
PV2_003181	8.57	1.96	1.73319	-1.20015
PV2_003182	31.89	10.78	0.221773	0.224275
PV2_003183	21.42	3.92	2.12591	-1.10262
PV2_003184	22.85	23.52	-1.50233	3.31663
PV2_003185	57.12	102.92	-1.44951	19.3163
PV2_003186	20.95	4.9	1.5964	-0.861176
PV2_003187	33.32	107.82	-1.09142	20.8651
PV2_003188	4.76	7.84	-2.49099	0.235451
PV2_003189	22.37	64.69	0.612427	12.6256
PV2_003190	47.6	65.67	1.39386	12.2178
PV2_003191	59.5	10.78	1.71622	-0.467573
PV2_003192	68.55	17.64	1.82706	1.04406
PV2_003193	16.19	1.96	-0.725725	-1.71636
PV2_003194	11.9	7.84	-0.302934	0.0533025
PV2_003195	94.73	615.56	0.266862	106.426
PV2_003196	17.61	159.77	3.43296	35.1895
PV2_003197	88.07	43.13	-0.234862	4.72594
PV2_003198	414.15	473.43	0.68078	10.7377
PV2_003199	17.61	396.97	-1.73852	107.546
PV2_003200	109.96	19.6	0.412231	0.0795079
PV2_003201	64.74	39.21	0.187546	4.95312
PV2_003202	42.37	10.78	-1.46909	-0.271314
PV2_003203	6.66	15.68	2.48779	3.63258
PV2_003204	7.62	3.92	1.18418	-0.603259
PV2_003205	8.57	3.92	-0.786749	-0.923705
PV2_003206	35.7	347.97	-0.717306	73.1773
PV2_003207	43.32	28.43	2.02982	4.7236
PV2_003208	34.27	23.52	-3.17277	2.28003
PV2_003209	249.44	46.07	0.961913	1.42709
PV2_003210	29.04	10.78	0.980474	-0.00807524
PV2_003211	10.47	13.72	-0.596281	1.43269
PV2_003212	7.14	4.9	0.808548	-0.342293
PV2_003213	29.51	19.6	-1.35552	2.41181
PV2_003214	6.19	12.74	2.28145	2.70085
PV2_003215	5.71	14.7	-1.95523	2.0732
PV2_003216	19.04	7.84	0.896377	-0.194456
PV2_003217	25.23	12.74	0.109281	0.635334
PV2_003218	4.76	5.88	1.6355	0.578558
PV2_003219	6.19	18.62	-2.86721	2.52518
PV2_003220	120.44	13.72	-0.448242	-1.63226
PV2_003221	28.09	22.54	0.25173	3.20612
PV2_003222	24.28	4.9	2.75125	-0.920704
PV2_003223	21.42	16.66	1.04944	1.80178
PV2_003224	2.38	0.98	-1.07708	-0.993026
PV2_003225	2.86	2.94	-0.646491	-0.493861
PV2_003226	127.1	35.29	-1.00043	1.39102
PV2_003227	1.9	3.92	-0.418981	0.0988869
PV2_003228	19.04	14.7	0.896377	1.64875
PV2_003229	95.21	19.6	-0.628439	0.16237
PV2_003230	8.09	1.96	-1.7907	-1.26059
PV2_003231	29.99	23.52	-1.5188	3.25365
PV2_003232	5.24	0	2.11099	-1.4333
PV2_003233	12.38	134.29	0.77243	29.3383
PV2_003234	2.38	3.92	-1.22642	-0.377334
PV2_003235	7.62	185.25	-1.91373	40.9486
PV2_003236	32.85	346.99	-0.926866	80.4623
PV2_003237	46.65	16.66	-1.59144	0.969192
PV2_003238	0.48	31.37	-0.372936	12.3888
PV2_003239	81.4	9.8	0.830968	-1.5141
PV2_003240	14.76	7.84	0.837783	-0.0185939
PV2_003241	16.66	702.79	1.29404	154.192
PV2_003242	116.15	22.54	1.99852	0.899745
PV2_003243	21.42	8.82	1.99959	0.133344
PV2_003244	63.79	21.56	2.5277	1.98913
PV2_003245	50.46	32.35	-0.284134	4.23802
PV2_003246	116.63	19.6	0.835335	-0.526093
PV2_003247	29.51	6.86	-1.49276	-0.976961
PV2_003248	17.61	5.88	0.597415	-0.527629
PV2_003249	57.12	13.72	-0.0592296	0.086636
PV2_003250	21.42	11.76	1.30394	0.672887
PV2_003251	34.27	9.8	-1.17219	-0.832409
PV2_003252	19.52	11.76	1.48167	1.10331
PV2_003253	50.46	11.76	0.261334	-0.568209
PV2_003254	7.62	1.96	0.685624	-0.966208
PV2_003255	9.52	10.78	-2.98575	0.435491
PV2_003256	69.98	16.66	0.0803822	0.707076
PV2_003257	21.9	9.8	-3.36573	-0.0144456
PV2_003258	35.7	12.74	-0.743817	0.443935
PV2_003259	207.08	40.19	-0.664367	0.0905788
PV2_003260	29.99	7.84	-1.29773	-0.643431
PV2_003261	21.42	10.78	1.88169	0.58474
PV2_003262	19.04	9.8	-0.134421	0.0547144
PV2_003263	27.13	20.58	-2.47947	1.7381
PV2_003264	13.81	19.6	0.179699	2.59896
PV2_003265	34.75	9.8	-1.75765	-0.35612
PV2_003266	38.08	23.52	-2.3724	2.42487
PV2_003267	42.37	16.66	0.227679	0.961244
PV2_003268	60.46	15.68	-1.27819	-0.30358
PV2_003269	28.09	22.54	1.5139	3.8189
PV2_003270	166.61	24.5	0.697135	0.705524
PV2_003271	4.76	2.94	0.58841	-0.58823
PV2_003272	26.66	43.13	0.802536	9.31372
PV2_003273	57.12	56.85	1.42878	10.3798
PV2_003274	133.77	12.74	0.788061	-2.09621
PV2_003275	85.69	39.21	-1.41804	3.8361
PV2_003276	13.33	33.33	-0.350708	5.50814
PV2_003277	52.84	25.48	-1.19436	2.4633
PV2_003278	1.9	8.82	-0.418981	1.79327
PV2_003279	11.9	16.66	-1.98369	1.85017
PV2_003280	209.93	26.46	3.15116	0.714612
PV2_003281	213.74	50.97	-0.90544	3.11609
PV2_003282	152.33	24.5	0.739873	-0.0243683
PV2_003283	106.63	22.54	-0.183856	0.31182
PV2_003284	19.52	25.48	-0.312858	3.76597
PV2_003285	182.32	21.56	2.07899	0.219031
PV2_003286	35.23	16.66	-0.706678	0.934407
PV2_003287	264.68	27.45	-0.202003	-2.69527
PV2_003288	34.75	38.23	-1.27775	5.79096
PV2_003289	26.66	14.7	-2.29657	1.13225
PV2_003290	48.08	21.56	-0.762736	1.78712
PV2_003291	125.67	29.41	-1.86485	0.700352
PV2_003292	55.7	23.52	1.06508	2.58252
PV2_003293	3.81	14.7	3.18615	4.62734
PV2_003294	5.24	26.46	-1.39057	4.77006
PV2_003295	13.33	10.78	1.88698	1.01438
PV2_003296	3.33	115.66	-2.81696	29.5743
PV2_003297	132.34	42.15	-0.833386	3.06283
PV2_003298	89.02	14.7	0.324928	-0.326798
PV2_003299	95.68	38.23	0.289251	3.16838
PV2_003300	11.9	3.92	0.937906	-0.910503
PV2_003301	7.62	1.96	-1.77019	-1.14099
PV2_003302	2.86	3.92	0.0116518	-0.0667551
PV2_003303	26.18	7.84	-0.695041	-0.438847
PV2_003304	69.5	16.66	-2.36556	-0.034244
PV2_003305	10	3.92	1.12897	-0.427231
PV2_003306	4.28	89.2	1.16898	29.3174
PV2_003307	2.86	55.87	1.79902	22.412
PV2_003308	8.09	7.84	-1.4985	0.2229
PV2_003309	6.19	16.66	-2.12361	2.37685
PV2_003310	17.14	23.52	3.44325	4.17764
PV2_003311	7.62	41.17	-1.77019	7.87723
PV2_003312	188.99	34.31	-0.852424	1.435
PV2_003313	32.85	22.54	1.75955	3.25278
PV2_003314	23.8	11.76	-3.5019	-0.511368
PV2_003315	16.19	4.9	0.180551	-0.675408
PV2_003316	341.79	29.41	1.23569	-0.29633
PV2_003317	117.11	9.8	-0.568026	-1.88698
PV2_003318	116.15	10.78	2.23213	-0.7031
PV2_003319	33.32	22.54	-2.7855	2.03364
PV2_003320	153.76	21.56	-0.789552	-0.239951
PV2_003321	36.65	12.74	0.40216	0.705966
PV2_003322	63.79	16.66	-2.96701	0.184694
PV2_003323	13.81	25.48	-1.2274	4.35137
PV2_003324	6.19	11.76	-1.48222	1.49959
PV2_003325	18.09	15.68	0.0142564	1.50323
PV2_003326	74.26	25.48	-1.07293	1.16099
PV2_003327	22.85	17.64	1.31664	1.861
PV2_003328	31.42	8.82	0.773482	-0.210224
PV2_003329	53.79	17.64	0.0537101	0.693202
PV2_003330	25.23	18.62	-0.790978	2.10342
PV2_003331	20.47	7.84	1.9238	0.0769193
PV2_003332	122.82	15.68	-0.628806	-0.49718
PV2_003333	71.88	24.5	-2.08257	1.46443
PV2_003334	233.73	53.91	-1.43433	1.09733
PV2_003335	37.61	12.74	-0.394927	0.421346
PV2_003336	58.55	52.93	1.39944	9.11217
PV2_003337	41.42	9.8	-1.81679	-0.593121
PV2_003338	5.71	9.8	-1.45308	1.1153
PV2_003339	29.04	4.9	-1.4133	-1.2723
PV2_003340	12.85	19.6	-1.49111	3.10772
PV2_003341	38.56	8.82	-1.57894	-0.723315
PV2_003342	10	9.8	-1.10188	0.564015
PV2_003343	234.21	44.11	-1.08612	0.545412
PV2_003344	19.52	10.78	0.870521	0.601187
PV2_003345	132.34	24.5	2.75684	0.591786
PV2_003346	66.65	9.8	2.32797	-1.03198
PV2_003347	11.42	2.94	-0.915458	-1.38463
PV2_003348	18.09	6.86	-0.416468	-0.571678
PV2_003349	40.46	16.66	0.396532	0.925671
PV2_003350	14.28	5.88	1.98392	-0.48011
PV2_003351	13.81	8.82	0.62917	0.343367
PV2_003352	40.46	12.74	-0.00941256	0.229331
PV2_003353	72.83	28.43	-2.90498	2.0871
PV2_003354	59.5	13.72	-0.552884	-0.107442
PV2_003355	27.13	3.92	-0.0705063	-1.38885
PV2_003356	91.4	23.52	0.483913	1.20367
PV2_003357	82.35	9.8	-1.40639	-2.09907
PV2_003358	16.19	9.8	1.4148	0.432618
PV2_003359	171.37	35.29	2.57665	1.46359
PV2_003360	47.6	14.7	1.50566	0.834741
PV2_003361	7.14	4.9	1.01081	-0.264559
PV2_003362	86.64	21.56	3.0371	1.376
PV2_003363	222.79	20.58	0.0444627	0.613637
PV2_003364	68.55	13.72	1.58576	0.168361
PV2_003365	12.38	6.86	0.628895	-0.034698
PV2_003366	64.26	17.64	0.40129	0.416182
PV2_003367	6.66	5.88	0.136254	0.0193396
PV2_003368	8.57	6.86	-0.638776	-0.0708407
PV2_003369	41.89	15.68	1.58197	1.36793
PV2_003370	14.28	5.88	-0.961815	-0.522894
PV2_003371	21.9	5.88	-0.365422	-0.647195
PV2_003372	4.28	9.8	-1.25745	1.01806
PV2_003373	17.61	14.7	-3.1181	1.22718
PV2_003374	53.79	19.6	0.10552	1.17963
PV2_003375	46.18	5.88	1.24892	-1.80208
PV2_003376	27.61	8.82	-1.79132	-0.309901
PV2_003377	6.19	17.64	-0.848331	2.61477
PV2_003378	14.28	6.86	-3.99357	-0.623691
PV2_003379	15.23	8.82	-1.91141	-0.0596097
PV2_003380	1.9	3.92	-1.19053	-0.197888
PV2_003381	3.81	6.86	-1.22134	0.346213
PV2_003382	56.65	15.68	-0.187987	0.456447
PV2_003383	25.23	8.82	0.0293024	-0.358165
PV2_003384	5.24	4.9	1.25461	-0.0170457
PV2_003385	408.92	71.55	0.661705	-1.36054
PV2_003386	41.42	7.84	-0.361702	-0.794303
PV2_003387	10	0.98	1.73442	-1.41592
PV2_003388	11.9	8.82	-0.837319	0.162805
PV2_003389	15.23	5.88	1.79768	-0.393495
PV2_003390	8.09	6.86	-0.0950297	0.314475
PV2_003391	7.14	7.84	2.71699	0.688243
PV2_003392	13.81	4.9	0.179699	-0.667754
PV2_003393	0	10.78	-2.38063	3.26854
PV2_003394	29.51	10.78	0.817164	0.426049
PV2_003395	40.46	10.78	-2.05619	-0.461246
PV2_003396	35.7	11.76	0.0121004	0.283324
PV2_003397	70.93	25.48	1.69236	2.2488
PV2_003398	6.66	5.88	-1.34234	-0.142373
PV2_003399	85.69	14.7	-0.165389	-0.394997
PV2_003400	11.9	9.8	0.208542	0.563297
PV2_003401	49.03	19.6	-1.39991	1.36623
PV2_003402	40.94	7.84	-0.471148	-0.803726
PV2_003403	116.63	9.8	1.52429	-1.93808
PV2_003404	42.84	19.6	0.649484	1.30786
PV2_003405	9.52	1.96	1.77009	-1.05472
PV2_003406	31.89	17.64	-0.177165	1.58747
PV2_003407	144.24	27.45	-0.360425	-0.0471941
PV2_003408	83.31	24.5	0.206334	1.14776
PV2_003409	37.13	10.78	-0.687547	-0.745051
PV2_003410	61.88	22.54	1.64551	1.9298
PV2_003411	47.6	7.84	-0.731915	-1.28955
PV2_003412	15.71	4.9	2.06937	-0.605093
PV2_003413	40.94	14.7	-1.86145	0.518089
PV2_003414	56.17	17.64	0.521782	0.745088
PV2_003415	7.62	1.96	-0.561314	-1.09369
PV2_003416	193.75	35.29	-1.48647	-0.0568656
PV2_003417	65.69	21.56	-0.497962	1.78205
PV2_003418	457.47	45.09	1.94955	-2.96783
PV2_003419	50.46	26.46	-1.37738	2.62994
PV2_003420	57.12	17.64	-0.381122	0.522242
PV2_003421	87.59	34.31	-1.27321	2.92301
PV2_003422	16.66	6.86	-2.08262	-0.362361
PV2_003423	17.14	8.82	1.55194	0.0895203
PV2_003424	16.66	9.8	-0.440304	0.175609
PV2_003425	40.94	9.8	-2.55872	-0.655256
PV2_003426	75.21	16.66	2.73131	0.801449
PV2_003427	139.95	19.6	-1.21883	-1.79908
PV2_003428	29.51	10.78	-3.12675	-0.450353
PV2_003429	49.51	24.5	-1.71891	2.3092
PV2_003430	235.64	20.58	-1.19927	-1.75062
PV2_003431	38.08	11.76	0.263886	0.367788
PV2_003432	14.28	8.82	-4.11062	-0.295982
PV2_003433	55.7	19.6	0.730706	1.28259
PV2_003434	36.18	38.23	-1.66886	6.1059
PV2_003435	68.55	7.84	3.3294	-1.33111
PV2_003436	10	5.88	-0.421988	-0.186497
PV2_003437	28.56	19.6	-0.116104	2.34111
PV2_003438	135.19	24.5	-1.00251	-0.107112
PV2_003439	76.17	21.56	-1.53483	0.910645
PV2_003440	127.58	39.21	0.321013	2.21274
PV2_003441	69.5	25.48	-2.12666	2.0722
PV2_003442	14.28	8.82	-0.821339	0.199969
PV2_003443	29.51	21.56	0.180425	2.8397
PV2_003444	37.13	17.64	-2.86549	0.762383
PV2_003445	9.52	11.76	-1.59456	0.893747
PV2_003446	94.26	12.74	0.789861	-1.07498
PV2_003447	21.9	17.64	1.35375	2.10245
PV2_003448	191.37	43.13	0.376205	1.07106
PV2_003449	8.57	7.84	-2.05618	-0.100407
PV2_003450	53.32	3.92	1.18623	-1.84183
PV2_003451	1.43	14.7	-1.93014	2.38938
PV2_003452	18.09	3.92	0.938485	-0.965592
PV2_003453	16.66	15.68	-0.440304	1.53561
PV2_003454	54.27	20.58	-0.734109	1.71151
PV2_003455	53.79	14.7	-2.76256	-0.608909
PV2_003456	12.85	12.74	-2.02711	0.972664
PV2_003457	130.91	19.6	-1.04479	-0.256907
PV2_003458	17.14	7.84	1.97043	0.0628714
PV2_003459	60.93	9.8	1.4079	-0.906594
PV2_003460	8.09	6.86	0.642816	0.0815343
PV2_003461	26.18	7.84	0.654848	-0.296663
PV2_003462	129.96	22.54	-0.495936	-0.336482
PV2_003463	47.13	18.62	-0.164955	1.16854
PV2_003464	10	5.88	-3.08478	-0.592178
PV2_003465	105.68	13.72	-2.17028	-1.77175
PV2_003466	5.71	3.92	-1.78531	-0.618033
PV2_003467	0	0	-3.95027	-1.73663
PV2_003468	19.99	5.88	-1.62168	-1.18135
PV2_003469	6.66	4.9	-0.841084	-0.174621
PV2_003470	1.9	9.8	-0.418981	2.13145
PV2_003471	38.56	19.6	-1.18771	1.70758
PV2_003472	20.95	5.88	1.5964	-0.607537
PV2_003473	53.79	8.82	2.39302	-0.334918
PV2_003474	67.12	7.84	2.31904	-1.56597
PV2_003475	4.28	13.72	-2.34661	1.63162
PV2_003476	10.95	15.68	-0.640266	2.04409
PV2_003477	133.29	23.52	-1.57478	-0.806153
PV2_003478	33.8	18.62	-2.68654	1.1882
PV2_003479	33.32	20.58	0.418471	2.50632
PV2_003480	155.66	15.68	1.7587	-2.07845
PV2_003481	18.09	8.82	-0.98252	-0.123332
PV2_003482	11.9	10.78	-1.68934	0.720188
PV2_003483	46.18	8.82	1.24892	-1.16
PV2_003484	38.08	26.46	0.06428	3.67171
PV2_003485	7.62	7.84	-0.561314	0.486465
PV2_003486	2.38	4.9	0.0565094	0.454327
PV2_003487	97.11	27.45	-0.584053	1.20192
PV2_003488	114.25	16.66	0.270213	-0.131369
PV2_003489	100.92	27.45	-0.717996	1.51309
PV2_003490	30.47	6.86	-3.38306	-1.45515
PV2_003491	171.37	28.43	0.472098	0.224823
PV2_003492	12.38	555.76	-0.584281	121.633
PV2_003493	7.14	627.32	-1.03926	166.873
PV2_003494	2.38	714.55	-0.975215	244.949
PV2_003495	12.38	38.23	2.32965	8.70436
PV2_003496	136.62	25.48	4.13022	1.01799
PV2_003497	58.55	9.8	0.286805	-0.641643
PV2_003498	0	213.68	-0.810977	90.8849
PV2_003499	37.61	1157.6	-0.506726	258.915
PV2_003500	13.81	1115.45	4.93075	265.34
PV2_003501	64.74	57.83	0.925841	9.33356
PV2_003502	41.89	713.57	-0.429848	165.275
PV2_003503	19.52	5.88	-0.413667	-0.758274
PV2_003504	8.57	12.74	1.02095	1.50005
PV2_003505	176.61	364.63	0.160774	44.1738
PV2_003506	3.81	53.91	0.442285	17.022
PV2_003507	3.81	21.56	-2.10403	3.70079
PV2_003508	99.49	7.84	3.44259	-2.09708
PV2_003509	6.66	456.77	2.05892	112.094
PV2_003510	65.22	791.99	3.02841	169.83
PV2_003511	89.97	59.79	2.18809	8.28947
PV2_003512	9.04	21.56	2.10883	4.25515
PV2_003513	35.23	69.59	-0.720377	13.8391
PV2_003514	11.9	755.72	-0.701068	166.093
PV2_003515	16.19	1100.75	1.6678	271.043
PV2_003516	99.02	33.33	1.26014	2.80835
PV2_003517	45.22	118.6	-1.58097	22.3942
PV2_003518	2.38	76.45	1.36098	31.3646
PV2_003519	28.09	7.84	-0.861452	-0.538916
PV2_003520	23.33	126.44	-2.39348	29.0423
PV2_003521	40.46	129.38	-0.0653121	26.5127
PV2_003522	10	13.72	-2.45116	1.6783
PV2_003523	142.81	21.56	1.8815	-0.620978
