* Barcode = NA
* Block Type = 384-Well Block
* Calibration ABY is expired  = No
* Calibration ABY performed on  = 07-11-2018 11:17:53 MST
* Calibration Background is expired  = No
* Calibration Background performed on  = 07-11-2018 09:36:34 MST
* Calibration CY5 is expired  = No
* Calibration CY5 performed on  = 07-11-2018 11:28:15 MST
* Calibration FAM is expired  = No
* Calibration FAM performed on  = 07-11-2018 10:40:32 MST
* Calibration JUN is expired  = No
* Calibration JUN performed on  = 07-11-2018 11:36:47 MST
* Calibration MUSTANGPUR is expired  = No
* Calibration MUSTANGPUR performed on  = 07-11-2018 11:02:57 MST
* Calibration NED is expired  = No
* Calibration NED performed on  = 07-11-2018 10:31:36 MST
* Calibration ROI is expired  = No
* Calibration ROI performed on  = 07-11-2018 09:24:21 MST
* Calibration ROX is expired  = No
* Calibration ROX performed on  = 07-11-2018 10:50:07 MST
* Calibration SYBR is expired  = No
* Calibration SYBR performed on  = 07-11-2018 10:20:52 MST
* Calibration TAMRA is expired  = No
* Calibration TAMRA performed on  = 07-11-2018 10:01:27 MST
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on  = 07-11-2018 09:50:57 MST
* Calibration VIC is expired  = No
* Calibration VIC performed on  = 07-11-2018 10:11:01 MST
* Chemistry = SYBR_GREEN
* Comment = NA
* Date Created = 10-10-2018 10:01:10 MST
* Experiment File Name = C:\Applied Biosystems\QuantStudio 12K Flex Software\User Files\experiments\MH\MH 3-8.eds
* Experiment Name = MH 3-8
* Experiment Run End Time = 10-09-2018 19:42:07 MST
* Experiment Type = Standard Curve
* Instrument Name = 285881215
* Instrument Serial Number = 285881215
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Amp Score	Cq Conf	Tm1	Tm2	Tm3	Dyes	Quantity	Target	Task	MTP	AMPNC	HIGHSD
4	A4	29	67.399	3.506	0.290
4	A4	30	67.657	3.483	0.291
4	A4	31	67.916	3.453	0.291
4	A4	32	68.174	3.418	0.291
4	A4	33	68.433	3.400	0.290
4	A4	34	68.691	3.377	0.290
4	A4	35	68.950	3.347	0.289
4	A4	36	69.208	3.318	0.288
4	A4	37	69.467	3.288	0.286
4	A4	38	69.725	3.270	0.284
4	A4	39	69.984	3.233	0.282
4	A4	40	70.242	3.211	0.280
4	A4	41	70.501	3.193	0.281
4	A4	42	70.759	3.160	0.282
4	A4	43	71.018	3.142	0.285
4	A4	44	71.276	3.107	0.288
4	A4	45	71.535	3.086	0.291
4	A4	46	71.793	3.053	0.293
4	A4	47	72.052	3.025	0.295
4	A4	48	72.310	3.004	0.294
4	A4	49	72.569	2.968	0.294
4	A4	50	72.827	2.942	0.292
4	A4	51	73.086	2.919	0.291
4	A4	52	73.344	2.896	0.289
4	A4	53	73.603	2.861	0.288
4	A4	54	73.861	2.838	0.287
4	A4	55	74.120	2.812	0.288
4	A4	56	74.378	2.780	0.290
4	A4	57	74.637	2.765	0.294
4	A4	58	74.895	2.737	0.300
4	A4	59	75.154	2.707	0.307
4	A4	60	75.412	2.674	0.314
4	A4	61	75.671	2.639	0.322
4	A4	62	75.929	2.619	0.332
4	A4	63	76.188	2.582	0.344
4	A4	64	76.447	2.556	0.362
4	A4	65	76.705	2.529	0.385
4	A4	66	76.964	2.490	0.417
4	A4	67	77.222	2.450	0.458
4	A4	68	77.481	2.410	0.510
4	A4	69	77.739	2.369	0.574
4	A4	70	77.998	2.315	0.653
4	A4	71	78.256	2.258	0.747
4	A4	72	78.515	2.189	0.858
4	A4	73	78.773	2.106	0.983
4	A4	74	79.032	2.015	1.121
4	A4	75	79.290	1.906	1.267
4	A4	76	79.549	1.781	1.412
4	A4	77	79.807	1.645	1.546
4	A4	78	80.066	1.471	1.652
4	A4	79	80.324	1.298	1.714
4	A4	80	80.583	1.099	1.718
4	A4	81	80.841	0.890	1.655
4	A4	82	81.100	0.687	1.527
4	A4	83	81.358	0.530	1.350
4	A4	84	81.617	0.434	1.144
4	A4	85	81.875	0.375	0.936
4	A4	86	82.134	0.332	0.747
4	A4	87	82.392	0.294	0.589
4	A4	88	82.651	0.266	0.470
4	A4	89	82.909	0.238	0.386
4	A4	90	83.168	0.209	0.334
4	A4	91	83.426	0.191	0.306
4	A4	92	83.685	0.175	0.296
4	A4	93	83.943	0.156	0.297
4	A4	94	84.202	0.127	0.301
4	A4	95	84.460	0.088	0.301
4	A4	96	84.719	0.044	0.292
4	A4	97	84.977	0.006	0.269
4	A4	98	85.236	-0.023	0.234
4	A4	99	85.494	-0.039	0.192
4	A4	100	85.753	-0.046	0.148
4	A4	101	86.011	-0.049	0.107
4	A4	102	86.270	-0.050	0.073
4	A4	103	86.529	-0.051	0.047
4	A4	104	86.787	-0.051	0.029
4	A4	105	87.046	-0.052	0.018
4	A4	106	87.304	-0.053	0.011
4	A4	107	87.563	-0.053	0.007
4	A4	108	87.821	-0.053	0.005
4	A4	109	88.080	-0.054	0.003
4	A4	110	88.338	-0.053	0.003
4	A4	111	88.597	-0.054	0.002
4	A4	112	88.855	-0.055	0.002
4	A4	113	89.114	-0.054	0.002
4	A4	114	89.372	-0.054	0.002
4	A4	115	89.631	-0.054	0.002
4	A4	116	89.889	-0.055	0.002
4	A4	117	90.148	-0.055	0.002
4	A4	118	90.406	-0.056	0.002
4	A4	119	90.665	-0.055	0.002
4	A4	120	90.923	-0.056	0.002
4	A4	121	91.182	-0.056	0.002
4	A4	122	91.440	-0.056	0.002
4	A4	123	91.699	-0.056	0.002
4	A4	124	91.957	-0.056	0.002
4	A4	125	92.216	-0.057	0.002
4	A4	126	92.474	-0.057	0.001
4	A4	127	92.733	-0.056	0.001
4	A4	128	92.991	-0.057	0.001
4	A4	129	93.250	-0.057	0.001
4	A4	130	93.508	-0.057	0.001
4	A4	131	93.767	-0.057	0.001
4	A4	132	94.025	-0.057	0.000
4	A4	133	94.284	-0.057	0.000
4	A4	134	94.542	-0.056	0.000
4	A4	135	94.801	-0.057	0.000
5	A5	1	60.160	4.414	0.234
5	A5	2	60.419	4.371	0.237
5	A5	3	60.677	4.345	0.239
5	A5	4	60.936	4.325	0.240
5	A5	5	61.194	4.298	0.240
5	A5	6	61.453	4.269	0.239
5	A5	7	61.711	4.244	0.237
5	A5	8	61.970	4.208	0.234
5	A5	9	62.228	4.186	0.231
5	A5	10	62.487	4.162	0.228
5	A5	11	62.745	4.141	0.226
5	A5	12	63.004	4.102	0.225
5	A5	13	63.262	4.095	0.226
5	A5	14	63.521	4.065	0.229
5	A5	15	63.779	4.038	0.233
5	A5	16	64.038	4.008	0.236
5	A5	17	64.296	3.986	0.239
5	A5	18	64.555	3.958	0.241
5	A5	19	64.813	3.926	0.242
5	A5	20	65.072	3.894	0.241
5	A5	21	65.330	3.873	0.239
5	A5	22	65.589	3.849	0.236
5	A5	23	65.847	3.819	0.233
5	A5	24	66.106	3.781	0.230
5	A5	25	66.365	3.772	0.229
5	A5	26	66.623	3.739	0.229
5	A5	27	66.882	3.725	0.230
5	A5	28	67.140	3.684	0.233
5	A5	29	67.399	3.671	0.235
5	A5	30	67.657	3.639	0.238
5	A5	31	67.916	3.610	0.240
5	A5	32	68.174	3.576	0.241
5	A5	33	68.433	3.554	0.243
5	A5	34	68.691	3.527	0.244
5	A5	35	68.950	3.505	0.246
5	A5	36	69.208	3.474	0.247
5	A5	37	69.467	3.448	0.248
5	A5	38	69.725	3.411	0.247
5	A5	39	69.984	3.380	0.245
5	A5	40	70.242	3.358	0.241
5	A5	41	70.501	3.332	0.237
5	A5	42	70.759	3.298	0.232
5	A5	43	71.018	3.274	0.229
5	A5	44	71.276	3.251	0.227
5	A5	45	71.535	3.230	0.227
5	A5	46	71.793	3.206	0.228
5	A5	47	72.052	3.176	0.230
5	A5	48	72.310	3.143	0.232
5	A5	49	72.569	3.125	0.235
5	A5	50	72.827	3.093	0.237
5	A5	51	73.086	3.073	0.239
5	A5	52	73.344	3.045	0.240
5	A5	53	73.603	3.003	0.241
5	A5	54	73.861	2.984	0.243
5	A5	55	74.120	2.965	0.245
5	A5	56	74.378	2.931	0.248
5	A5	57	74.637	2.899	0.253
5	A5	58	74.895	2.881	0.258
5	A5	59	75.154	2.843	0.265
5	A5	60	75.412	2.815	0.272
5	A5	61	75.671	2.782	0.280
5	A5	62	75.929	2.748	0.290
5	A5	63	76.188	2.721	0.302
5	A5	64	76.447	2.683	0.318
5	A5	65	76.705	2.652	0.338
5	A5	66	76.964	2.616	0.364
5	A5	67	77.222	2.566	0.397
5	A5	68	77.481	2.533	0.440
5	A5	69	77.739	2.476	0.495
5	A5	70	77.998	2.432	0.566
5	A5	71	78.256	2.367	0.654
5	A5	72	78.515	2.295	0.763
5	A5	73	78.773	2.216	0.894
5	A5	74	79.032	2.116	1.048
5	A5	75	79.290	1.990	1.219
5	A5	76	79.549	1.855	1.396
5	A5	77	79.807	1.706	1.564
5	A5	78	80.066	1.479	1.697
5	A5	79	80.324	1.226	1.773
5	A5	80	80.583	0.940	1.772
5	A5	81	80.841	0.662	1.686
5	A5	82	81.100	0.427	1.520
5	A5	83	81.358	0.247	1.297
5	A5	84	81.617	0.135	1.045
5	A5	85	81.875	0.081	0.795
5	A5	86	82.134	0.056	0.573
5	A5	87	82.392	0.046	0.394
5	A5	88	82.651	0.039	0.263
5	A5	89	82.909	0.033	0.176
5	A5	90	83.168	0.028	0.124
5	A5	91	83.426	0.022	0.096
5	A5	92	83.685	0.015	0.083
5	A5	93	83.943	0.005	0.077
5	A5	94	84.202	-0.007	0.074
5	A5	95	84.460	-0.020	0.069
5	A5	96	84.719	-0.030	0.062
5	A5	97	84.977	-0.036	0.053
5	A5	98	85.236	-0.040	0.043
5	A5	99	85.494	-0.041	0.033
5	A5	100	85.753	-0.043	0.024
5	A5	101	86.011	-0.044	0.017
5	A5	102	86.270	-0.044	0.012
5	A5	103	86.529	-0.045	0.008
5	A5	104	86.787	-0.045	0.006
5	A5	105	87.046	-0.046	0.004
5	A5	106	87.304	-0.046	0.003
5	A5	107	87.563	-0.046	0.003
5	A5	108	87.821	-0.047	0.002
5	A5	109	88.080	-0.046	0.002
5	A5	110	88.338	-0.047	0.002
5	A5	111	88.597	-0.046	0.001
5	A5	112	88.855	-0.047	0.001
5	A5	113	89.114	-0.047	0.001
5	A5	114	89.372	-0.048	0.001
5	A5	115	89.631	-0.046	0.001
5	A5	116	89.889	-0.047	0.001
5	A5	117	90.148	-0.048	0.001
5	A5	118	90.406	-0.048	0.001
5	A5	119	90.665	-0.048	0.002
5	A5	120	90.923	-0.048	0.002
5	A5	121	91.182	-0.049	0.001
5	A5	122	91.440	-0.048	0.001
5	A5	123	91.699	-0.049	0.001
5	A5	124	91.957	-0.049	0.001
5	A5	125	92.216	-0.049	0.001
5	A5	126	92.474	-0.049	0.001
5	A5	127	92.733	-0.049	0.001
5	A5	128	92.991	-0.050	0.001
5	A5	129	93.250	-0.050	0.001
5	A5	130	93.508	-0.050	0.001
5	A5	131	93.767	-0.050	0.001
5	A5	132	94.025	-0.050	0.001
5	A5	133	94.284	-0.050	0.000
5	A5	134	94.542	-0.050	0.000
5	A5	135	94.801	-0.050	0.000
6	A6	1	60.160	4.344	0.251
6	A6	2	60.419	4.324	0.253
6	A6	3	60.677	4.298	0.254
6	A6	4	60.936	4.268	0.256
6	A6	5	61.194	4.249	0.257
6	A6	6	61.453	4.216	0.258
6	A6	7	61.711	4.191	0.259
6	A6	8	61.970	4.163	0.260
6	A6	9	62.228	4.143	0.259
6	A6	10	62.487	4.108	0.258
6	A6	11	62.745	4.079	0.255
6	A6	12	63.004	4.043	0.251
6	A6	13	63.262	4.038	0.248
6	A6	14	63.521	3.998	0.246
6	A6	15	63.779	3.973	0.247
6	A6	16	64.038	3.966	0.249
6	A6	17	64.296	3.928	0.253
6	A6	18	64.555	3.912	0.256
6	A6	19	64.813	3.863	0.259
6	A6	20	65.072	3.842	0.259
6	A6	21	65.330	3.825	0.258
6	A6	22	65.589	3.794	0.256
6	A6	23	65.847	3.755	0.253
6	A6	24	66.106	3.734	0.250
6	A6	25	66.365	3.715	0.248
6	A6	26	66.623	3.695	0.248
6	A6	27	66.882	3.661	0.250
6	A6	28	67.140	3.633	0.252
6	A6	29	67.399	3.614	0.254
6	A6	30	67.657	3.583	0.257
6	A6	31	67.916	3.553	0.259
6	A6	32	68.174	3.527	0.261
6	A6	33	68.433	3.505	0.262
6	A6	34	68.691	3.473	0.263
6	A6	35	68.950	3.443	0.263
6	A6	36	69.208	3.416	0.263
6	A6	37	69.467	3.392	0.263
6	A6	38	69.725	3.358	0.262
6	A6	39	69.984	3.337	0.261
6	A6	40	70.242	3.308	0.261
6	A6	41	70.501	3.279	0.260
6	A6	42	70.759	3.251	0.259
6	A6	43	71.018	3.229	0.257
6	A6	44	71.276	3.191	0.255
6	A6	45	71.535	3.167	0.254
6	A6	46	71.793	3.143	0.253
6	A6	47	72.052	3.126	0.254
6	A6	48	72.310	3.090	0.254
6	A6	49	72.569	3.066	0.255
6	A6	50	72.827	3.036	0.256
6	A6	51	73.086	3.002	0.257
6	A6	52	73.344	2.989	0.259
6	A6	53	73.603	2.952	0.262
6	A6	54	73.861	2.941	0.266
6	A6	55	74.120	2.906	0.271
6	A6	56	74.378	2.873	0.275
6	A6	57	74.637	2.831	0.279
6	A6	58	74.895	2.809	0.283
6	A6	59	75.154	2.789	0.289
6	A6	60	75.412	2.754	0.297
6	A6	61	75.671	2.727	0.309
6	A6	62	75.929	2.696	0.324
6	A6	63	76.188	2.662	0.342
6	A6	64	76.447	2.621	0.361
6	A6	65	76.705	2.578	0.382
6	A6	66	76.964	2.539	0.406
6	A6	67	77.222	2.500	0.435
6	A6	68	77.481	2.454	0.473
6	A6	69	77.739	2.411	0.522
6	A6	70	77.998	2.356	0.587
6	A6	71	78.256	2.295	0.672
6	A6	72	78.515	2.237	0.780
6	A6	73	78.773	2.162	0.914
6	A6	74	79.032	2.072	1.071
6	A6	75	79.290	1.949	1.246
6	A6	76	79.549	1.830	1.424
6	A6	77	79.807	1.660	1.585
6	A6	78	80.066	1.459	1.706
6	A6	79	80.324	1.217	1.762
6	A6	80	80.583	0.947	1.736
6	A6	81	80.841	0.696	1.625
6	A6	82	81.100	0.493	1.440
6	A6	83	81.358	0.353	1.208
6	A6	84	81.617	0.278	0.960
6	A6	85	81.875	0.243	0.726
6	A6	86	82.134	0.222	0.529
6	A6	87	82.392	0.207	0.382
6	A6	88	82.651	0.198	0.284
6	A6	89	82.909	0.187	0.229
6	A6	90	83.168	0.175	0.208
6	A6	91	83.426	0.159	0.208
6	A6	92	83.685	0.141	0.219
6	A6	93	83.943	0.112	0.230
6	A6	94	84.202	0.073	0.235
6	A6	95	84.460	0.032	0.228
6	A6	96	84.719	-0.003	0.209
6	A6	97	84.977	-0.024	0.179
6	A6	98	85.236	-0.035	0.144
6	A6	99	85.494	-0.039	0.109
6	A6	100	85.753	-0.042	0.077
6	A6	101	86.011	-0.043	0.051
6	A6	102	86.270	-0.045	0.032
6	A6	103	86.529	-0.045	0.020
6	A6	104	86.787	-0.045	0.012
6	A6	105	87.046	-0.045	0.007
6	A6	106	87.304	-0.045	0.005
6	A6	107	87.563	-0.046	0.004
6	A6	108	87.821	-0.046	0.003
6	A6	109	88.080	-0.046	0.003
6	A6	110	88.338	-0.047	0.003
6	A6	111	88.597	-0.047	0.002
6	A6	112	88.855	-0.047	0.002
6	A6	113	89.114	-0.047	0.002
6	A6	114	89.372	-0.047	0.002
6	A6	115	89.631	-0.048	0.002
6	A6	116	89.889	-0.048	0.002
6	A6	117	90.148	-0.048	0.002
6	A6	118	90.406	-0.048	0.002
6	A6	119	90.665	-0.049	0.002
6	A6	120	90.923	-0.048	0.002
6	A6	121	91.182	-0.049	0.002
6	A6	122	91.440	-0.048	0.002
6	A6	123	91.699	-0.049	0.002
6	A6	124	91.957	-0.050	0.002
6	A6	125	92.216	-0.050	0.002
6	A6	126	92.474	-0.050	0.002
6	A6	127	92.733	-0.050	0.002
6	A6	128	92.991	-0.050	0.002
6	A6	129	93.250	-0.050	0.001
6	A6	130	93.508	-0.051	0.001
6	A6	131	93.767	-0.051	0.001
6	A6	132	94.025	-0.051	0.001
6	A6	133	94.284	-0.051	0.001
6	A6	134	94.542	-0.051	0.000
6	A6	135	94.801	-0.051	0.000
7	A7	1	60.160	4.437	0.235
7	A7	2	60.419	4.405	0.236
7	A7	3	60.677	4.373	0.237
7	A7	4	60.936	4.369	0.238
7	A7	5	61.194	4.332	0.238
7	A7	6	61.453	4.305	0.237
7	A7	7	61.711	4.271	0.235
7	A7	8	61.970	4.251	0.233
7	A7	9	62.228	4.235	0.232
7	A7	10	62.487	4.191	0.231
7	A7	11	62.745	4.187	0.230
7	A7	12	63.004	4.150	0.231
7	A7	13	63.262	4.117	0.233
7	A7	14	63.521	4.098	0.236
7	A7	15	63.779	4.090	0.240
7	A7	16	64.038	4.046	0.244
7	A7	17	64.296	4.021	0.247
7	A7	18	64.555	3.993	0.248
7	A7	19	64.813	3.963	0.248
7	A7	20	65.072	3.932	0.246
7	A7	21	65.330	3.904	0.243
7	A7	22	65.589	3.879	0.240
7	A7	23	65.847	3.860	0.239
7	A7	24	66.106	3.830	0.239
7	A7	25	66.365	3.807	0.240
7	A7	26	66.623	3.788	0.241
7	A7	27	66.882	3.741	0.242
7	A7	28	67.140	3.721	0.241
7	A7	29	67.399	3.689	0.239
7	A7	30	67.657	3.667	0.238
7	A7	31	67.916	3.656	0.239
7	A7	32	68.174	3.610	0.240
7	A7	33	68.433	3.599	0.242
7	A7	34	68.691	3.567	0.244
7	A7	35	68.950	3.531	0.245
7	A7	36	69.208	3.509	0.245
7	A7	37	69.467	3.482	0.245
7	A7	38	69.725	3.442	0.245
7	A7	39	69.984	3.429	0.246
7	A7	40	70.242	3.413	0.249
7	A7	41	70.501	3.373	0.252
7	A7	42	70.759	3.345	0.255
7	A7	43	71.018	3.320	0.256
7	A7	44	71.276	3.267	0.255
7	A7	45	71.535	3.258	0.254
7	A7	46	71.793	3.234	0.251
7	A7	47	72.052	3.199	0.249
7	A7	48	72.310	3.164	0.248
7	A7	49	72.569	3.152	0.246
7	A7	50	72.827	3.116	0.245
7	A7	51	73.086	3.088	0.244
7	A7	52	73.344	3.067	0.243
7	A7	53	73.603	3.026	0.242
7	A7	54	73.861	3.014	0.242
7	A7	55	74.120	2.990	0.243
7	A7	56	74.378	2.950	0.244
7	A7	57	74.637	2.931	0.246
7	A7	58	74.895	2.900	0.249
7	A7	59	75.154	2.876	0.251
7	A7	60	75.412	2.841	0.255
7	A7	61	75.671	2.817	0.259
7	A7	62	75.929	2.789	0.265
7	A7	63	76.188	2.758	0.273
7	A7	64	76.447	2.736	0.285
7	A7	65	76.705	2.692	0.301
7	A7	66	76.964	2.673	0.321
7	A7	67	77.222	2.629	0.347
7	A7	68	77.481	2.600	0.380
7	A7	69	77.739	2.550	0.421
7	A7	70	77.998	2.502	0.473
7	A7	71	78.256	2.455	0.540
7	A7	72	78.515	2.405	0.624
7	A7	73	78.773	2.341	0.729
7	A7	74	79.032	2.266	0.854
7	A7	75	79.290	2.161	0.999
7	A7	76	79.549	2.052	1.161
7	A7	77	79.807	1.922	1.333
7	A7	78	80.066	1.751	1.501
7	A7	79	80.324	1.576	1.648
7	A7	80	80.583	1.371	1.753
7	A7	81	80.841	1.110	1.795
7	A7	82	81.100	0.825	1.758
7	A7	83	81.358	0.558	1.637
7	A7	84	81.617	0.339	1.445
7	A7	85	81.875	0.189	1.204
7	A7	86	82.134	0.107	0.947
7	A7	87	82.392	0.069	0.703
7	A7	88	82.651	0.054	0.494
7	A7	89	82.909	0.046	0.333
7	A7	90	83.168	0.041	0.220
7	A7	91	83.426	0.036	0.149
7	A7	92	83.685	0.031	0.108
7	A7	93	83.943	0.025	0.089
7	A7	94	84.202	0.016	0.081
7	A7	95	84.460	0.005	0.078
7	A7	96	84.719	-0.007	0.075
7	A7	97	84.977	-0.018	0.070
7	A7	98	85.236	-0.028	0.063
7	A7	99	85.494	-0.034	0.053
7	A7	100	85.753	-0.038	0.043
7	A7	101	86.011	-0.040	0.032
7	A7	102	86.270	-0.042	0.023
7	A7	103	86.529	-0.042	0.016
7	A7	104	86.787	-0.041	0.011
7	A7	105	87.046	-0.043	0.007
7	A7	106	87.304	-0.042	0.005
7	A7	107	87.563	-0.043	0.004
7	A7	108	87.821	-0.044	0.003
7	A7	109	88.080	-0.044	0.003
7	A7	110	88.338	-0.044	0.002
7	A7	111	88.597	-0.044	0.002
7	A7	112	88.855	-0.044	0.002
7	A7	113	89.114	-0.045	0.002
7	A7	114	89.372	-0.044	0.002
7	A7	115	89.631	-0.045	0.002
7	A7	116	89.889	-0.044	0.002
7	A7	117	90.148	-0.045	0.002
7	A7	118	90.406	-0.045	0.002
7	A7	119	90.665	-0.047	0.002
7	A7	120	90.923	-0.046	0.002
7	A7	121	91.182	-0.045	0.002
7	A7	122	91.440	-0.045	0.001
7	A7	123	91.699	-0.047	0.001
7	A7	124	91.957	-0.046	0.001
7	A7	125	92.216	-0.047	0.001
7	A7	126	92.474	-0.047	0.001
7	A7	127	92.733	-0.048	0.001
7	A7	128	92.991	-0.046	0.001
7	A7	129	93.250	-0.047	0.001
7	A7	130	93.508	-0.047	0.001
7	A7	131	93.767	-0.048	0.001
7	A7	132	94.025	-0.048	0.001
7	A7	133	94.284	-0.048	0.001
7	A7	134	94.542	-0.049	0.001
7	A7	135	94.801	-0.048	0.001
8	A8	1	60.160	4.362	0.226
8	A8	2	60.419	4.347	0.227
8	A8	3	60.677	4.316	0.228
8	A8	4	60.936	4.301	0.228
8	A8	5	61.194	4.273	0.229
8	A8	6	61.453	4.247	0.229
8	A8	7	61.711	4.222	0.230
8	A8	8	61.970	4.190	0.231
8	A8	9	62.228	4.169	0.232
8	A8	10	62.487	4.147	0.233
8	A8	11	62.745	4.123	0.234
8	A8	12	63.004	4.090	0.234
8	A8	13	63.262	4.065	0.233
8	A8	14	63.521	4.032	0.232
8	A8	15	63.779	4.014	0.230
8	A8	16	64.038	3.980	0.229
8	A8	17	64.296	3.968	0.229
8	A8	18	64.555	3.946	0.231
8	A8	19	64.813	3.910	0.233
8	A8	20	65.072	3.888	0.235
8	A8	21	65.330	3.861	0.237
8	A8	22	65.589	3.831	0.237
8	A8	23	65.847	3.803	0.237
8	A8	24	66.106	3.784	0.236
8	A8	25	66.365	3.748	0.235
8	A8	26	66.623	3.729	0.234
8	A8	27	66.882	3.703	0.235
8	A8	28	67.140	3.670	0.236
8	A8	29	67.399	3.656	0.239
8	A8	30	67.657	3.637	0.241
8	A8	31	67.916	3.586	0.243
8	A8	32	68.174	3.567	0.244
8	A8	33	68.433	3.540	0.244
8	A8	34	68.691	3.519	0.244
8	A8	35	68.950	3.478	0.242
8	A8	36	69.208	3.466	0.240
8	A8	37	69.467	3.430	0.238
8	A8	38	69.725	3.404	0.237
8	A8	39	69.984	3.374	0.236
8	A8	40	70.242	3.355	0.236
8	A8	41	70.501	3.332	0.237
8	A8	42	70.759	3.305	0.239
8	A8	43	71.018	3.272	0.240
8	A8	44	71.276	3.251	0.241
8	A8	45	71.535	3.212	0.241
8	A8	46	71.793	3.189	0.239
8	A8	47	72.052	3.165	0.237
8	A8	48	72.310	3.136	0.235
8	A8	49	72.569	3.110	0.234
8	A8	50	72.827	3.088	0.235
8	A8	51	73.086	3.068	0.236
8	A8	52	73.344	3.026	0.237
8	A8	53	73.603	3.011	0.239
8	A8	54	73.861	2.985	0.241
8	A8	55	74.120	2.950	0.242
8	A8	56	74.378	2.927	0.243
8	A8	57	74.637	2.893	0.243
8	A8	58	74.895	2.875	0.243
8	A8	59	75.154	2.842	0.244
8	A8	60	75.412	2.815	0.247
8	A8	61	75.671	2.788	0.251
8	A8	62	75.929	2.760	0.259
8	A8	63	76.188	2.747	0.270
8	A8	64	76.447	2.708	0.284
8	A8	65	76.705	2.666	0.300
8	A8	66	76.964	2.643	0.320
8	A8	67	77.222	2.608	0.344
8	A8	68	77.481	2.560	0.374
8	A8	69	77.739	2.523	0.412
8	A8	70	77.998	2.483	0.462
8	A8	71	78.256	2.437	0.527
8	A8	72	78.515	2.380	0.609
8	A8	73	78.773	2.318	0.711
8	A8	74	79.032	2.245	0.832
8	A8	75	79.290	2.144	0.974
8	A8	76	79.549	2.035	1.131
8	A8	77	79.807	1.908	1.298
8	A8	78	80.066	1.743	1.464
8	A8	79	80.324	1.579	1.612
8	A8	80	80.583	1.373	1.721
8	A8	81	80.841	1.115	1.768
8	A8	82	81.100	0.837	1.738
8	A8	83	81.358	0.569	1.626
8	A8	84	81.617	0.348	1.441
8	A8	85	81.875	0.195	1.206
8	A8	86	82.134	0.107	0.953
8	A8	87	82.392	0.069	0.710
8	A8	88	82.651	0.052	0.502
8	A8	89	82.909	0.045	0.339
8	A8	90	83.168	0.039	0.224
8	A8	91	83.426	0.033	0.150
8	A8	92	83.685	0.028	0.107
8	A8	93	83.943	0.022	0.085
8	A8	94	84.202	0.014	0.076
8	A8	95	84.460	0.006	0.071
8	A8	96	84.719	-0.005	0.068
8	A8	97	84.977	-0.016	0.064
8	A8	98	85.236	-0.025	0.058
8	A8	99	85.494	-0.032	0.049
8	A8	100	85.753	-0.034	0.040
8	A8	101	86.011	-0.037	0.030
8	A8	102	86.270	-0.037	0.022
8	A8	103	86.529	-0.038	0.016
8	A8	104	86.787	-0.039	0.011
8	A8	105	87.046	-0.038	0.008
8	A8	106	87.304	-0.039	0.006
8	A8	107	87.563	-0.040	0.004
8	A8	108	87.821	-0.040	0.004
8	A8	109	88.080	-0.041	0.003
8	A8	110	88.338	-0.040	0.003
8	A8	111	88.597	-0.041	0.002
8	A8	112	88.855	-0.041	0.002
8	A8	113	89.114	-0.042	0.002
8	A8	114	89.372	-0.041	0.002
8	A8	115	89.631	-0.042	0.002
8	A8	116	89.889	-0.042	0.002
8	A8	117	90.148	-0.043	0.002
8	A8	118	90.406	-0.042	0.002
8	A8	119	90.665	-0.044	0.002
8	A8	120	90.923	-0.043	0.002
8	A8	121	91.182	-0.043	0.001
8	A8	122	91.440	-0.043	0.001
8	A8	123	91.699	-0.043	0.001
8	A8	124	91.957	-0.043	0.001
8	A8	125	92.216	-0.043	0.001
8	A8	126	92.474	-0.043	0.001
8	A8	127	92.733	-0.043	0.001
8	A8	128	92.991	-0.044	0.002
8	A8	129	93.250	-0.044	0.002
8	A8	130	93.508	-0.044	0.002
8	A8	131	93.767	-0.044	0.002
8	A8	132	94.025	-0.046	0.002
8	A8	133	94.284	-0.045	0.002
8	A8	134	94.542	-0.046	0.001
8	A8	135	94.801	-0.045	0.001
9	A9	1	60.160	4.375	0.264
9	A9	2	60.419	4.338	0.265
9	A9	3	60.677	4.318	0.266
9	A9	4	60.936	4.298	0.265
9	A9	5	61.194	4.272	0.265
9	A9	6	61.453	4.239	0.264
9	A9	7	61.711	4.217	0.263
9	A9	8	61.970	4.195	0.264
9	A9	9	62.228	4.169	0.265
9	A9	10	62.487	4.145	0.267
9	A9	11	62.745	4.117	0.268
9	A9	12	63.004	4.084	0.269
9	A9	13	63.262	4.063	0.268
9	A9	14	63.521	4.031	0.267
9	A9	15	63.779	4.020	0.265
9	A9	16	64.038	3.977	0.263
9	A9	17	64.296	3.951	0.262
9	A9	18	64.555	3.935	0.260
9	A9	19	64.813	3.919	0.260
9	A9	20	65.072	3.876	0.262
