"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","NODE_1155_length_1050_cov_93.5739_g991_i0",0.000168295658132291,0.615621213916562,17.3795765109648,64.5633752704781,2,2.80517285389201,5.86939775186164,0.0134966084790107,5.85590114338263,1.60646784007766,5.85590114338263
"2","NODE_167_length_4250_cov_33.2877_g128_i0",0.000130518147243426,0.615621213916562,17.8879965630656,100.397043353209,2,2.39795120984131,9.12700394120082,2.46512629973765,6.66187764146317,1.7880360225825,6.66187764146317
"3","NODE_767_length_1834_cov_71.3985_g662_i0",0.00022337489619614,0.615621213916562,16.813318098383,68.1960880528227,2,3.08861779752648,6.19964436843842,1.64898331581608,4.55066105262235,1.36419204398073,4.55066105262235
"4","NODE_13_length_8848_cov_98.9853_g9_i0",0.000355787263588872,0.716327961283906,15.8823551598388,80.525244265826,2,3.47220757503489,7.32047675143873,3.1182496221626,4.20222712927613,0.983906911621266,4.20222712927613
"5","NODE_1531_length_809_cov_7381.81_g1408_i0",0.000433193009968497,0.716327961283906,15.4886543575488,43.4307732167767,2,2.41902365786539,3.94825211061607,0.633208439027567,3.3150436715885,1.78509493950968,3.3150436715885
"6","NODE_1428_length_674_cov_353.85_g1345_i0",0.00124863824938894,0.814587887595955,13.3714034439696,53.7769660503526,2,2.04314613710911,4.8888150954866,0.70040026957572,4.18841482591088,1.79988910791761,4.18841482591088
"7","NODE_1617_length_743_cov_139.82_g1412_i0",0.00144521135371392,0.814587887595955,13.0789994051351,56.4085901588044,2,2.36617806073108,5.1280536508004,1.0394941973302,4.0885594534702,1.79158921295661,4.0885594534702
"8","NODE_1745_length_532_cov_204.528_g421_i1",0.00115973951465365,0.814587887595955,13.5191197108269,34.5451100234961,2,1.16454259620411,3.14046454759055,3.11261405153493e-31,3.14046454759055,1.4625666338613,3.14046454759055
"9","NODE_2519_length_404_cov_764.077_g2364_i0",0.00150696718327186,0.814587887595955,12.9953122715428,58.0561028305026,2,3.76284407123119,5.27782753004569,1.94288568201495,3.33494184803074,0.68118833210646,3.33494184803074
"10","NODE_3082_length_308_cov_53.166_g2920_i0",0.00143327228473324,0.814587887595955,13.0955902758087,32.6918047786881,2,1.55270770250507,2.97198225260801,0.274920474822333,2.69706177778567,1.67091638672599,2.69706177778567
"11","NODE_353_length_2472_cov_52.2553_g335_i0",0.0015763674651107,0.814587887595955,12.9052643031669,0.814397945120606,2,6.30467416407474,0.0740361768291461,0.0218464190451023,0.0521897577840437,0.019116607307137,0.0521897577840437
"12","NODE_44_length_7687_cov_3781.44_g40_i0",0.00111310888012211,0.814587887595955,13.6011967713347,0.47547175306264,2,7.59265791118843,0.0432247048238764,0.00823889912370228,0.0349858057001741,0.0111187053417029,0.0349858057001741
"13","NODE_6_length_9690_cov_132.104_g5_i0",0.000943107428215933,0.814587887595955,13.9326607201268,70.6605868839222,2,2.13834562415683,6.42368971672019,1.97147820511153,4.45221151160866,1.80149258639479,4.45221151160866
"14","NODE_873_length_1475_cov_26.838_g809_i0",0.00112319952975338,0.814587887595955,13.5831478867194,65.6218917596923,2,2.51962861666159,5.96562652360839,1.66713892916483,4.29848759444355,1.76294076251611,4.29848759444355
"15","NODE_90_length_4683_cov_79.7159_g85_i0",0.000627280059345887,0.814587887595955,14.7482349028666,104.858551909015,2,3.55945077043191,9.53259562809224,2.15444272763476,7.37815290045748,0.889591679918725,7.37815290045748
"16","NODE_92_length_5476_cov_101.037_g75_i0",0.000785985319953415,0.814587887595955,14.2971448852271,72.7643383284602,2,2.77174004959529,6.61493984804183,1.2181837516427,5.39675609639913,1.63074805114042,5.39675609639913
"17","NODE_1016_length_1409_cov_49.6972_g869_i0",0.00182355843801745,0.838918505416283,12.6139310021148,61.3463598795414,2,1.96328447167841,5.57694180723104,1.56864455958067,4.00829724765037,1.79085535245433,4.00829724765037
"18","NODE_209_length_4304_cov_228.322_g191_i0",0.00192784852478343,0.838918505416283,12.5027013037279,75.6054595866541,2,2.24100590728557,6.87322359878673,2.6563086204282,4.21691497835854,1.79851780819113,4.21691497835854
"19","NODE_527_length_2257_cov_21.5949_g447_i0",0.00187789828957275,0.838918505416283,12.5552041171393,45.4585107387962,2,1.23441132545444,4.13259188534511,2.12309260331159,2.00949928203352,1.50510218383494,2.00949928203352
"20","NODE_1109_length_1170_cov_3132.69_g501_i2",0.00283539959911716,0.969481271801599,11.7311447993314,0.563968199190902,2,6.87102332893396,0.051269836290082,0.00542029944323224,0.0458495368468497,0.0124864511768356,0.0458495368468497
"21","NODE_1205_length_942_cov_101.133_g1105_i0",0.00268157702207021,0.969481271801599,11.8427004329039,78.7740401831608,2,2.53545998769689,7.16127638028735,0.888372194679674,6.27290418560767,1.75801261119033,6.27290418560767
"22","NODE_136_length_4164_cov_74.1129_g119_i0",0.00245159949511708,0.969481271801599,12.0220292245858,89.8430222090752,2,3.11832856639545,8.16754747355229,3.05450473608917,5.11304273746312,1.33636252932814,5.11304273746312
"23","NODE_4790_length_212_cov_61460.1_g4591_i0",0.00292049977295619,0.969481271801599,11.6720010444507,0.341690787003543,2,8.56370180692064,0.0310627988185039,0.000209354668278975,0.0308534441502249,0.0208289528673161,0.0308534441502249
"24","NODE_658_length_2144_cov_173.557_g584_i0",0.00293142619678761,0.969481271801599,11.6645324355958,48.4549299639902,2,2.7776323609785,4.40499363309002,2.42194058032515,1.98305305276487,1.62655635861973,1.98305305276487
"25","NODE_96_length_5475_cov_1458.89_g47_i2",0.00277866407781972,0.969481271801599,11.7715700286529,119.428074781482,2,3.6861701895184,10.8570977074074,1.71846109464417,9.13863661276327,0.756656700990423,9.13863661276327
"26","NODE_1_length_12210_cov_59.6595_g0_i0",0.794792216120245,1,0.459349123719849,0.805149705647515,2,7.40943686101049,0.0731954277861373,0.0981609748538069,-0.0249655470676691,0.0108947594965151,0.0108947594965151
"27","NODE_1_length_12992_cov_71.0619_g0_i0",0.739002994828445,1,0.604906611000546,0.687251660473316,2,7.55798987580656,0.0624774236793926,0.0655405814030565,-0.00306315772366411,0.0110470129597725,0.0110470129597725
"28","NODE_1_length_13411_cov_131.438_g0_i0",1,1,-0.370555329793255,20.6613433255662,2,6.42871370659125,1.87830393868784,0.12313527624042,1.75516866244742,0.0170506323174144,1.75516866244742
"29","NODE_1_length_13825_cov_3929.69_g0_i0",0.790122912091093,1,0.47113352139543,27.6911141036635,2,1.78595946455514,2.51737400942395,1.72529804729898,0.792075962124978,1.75179794831514,1.75179794831514
"30","NODE_1_length_14061_cov_87.9946_g0_i0",0.741394460400689,1,0.598444920205157,1.46602937399006,2,7.6242176764858,0.13327539763546,0.0104405442938275,0.122834853341633,0.0111961730366926,0.122834853341633
"31","NODE_1_length_14267_cov_42.8606_g0_i0",0.963988167209002,1,0.0733525182527686,3.44681888039149,2,5.32775492823954,0.313347170944681,2.98241608177759,-2.66906891083291,0.0632184446893444,0.0632184446893444
"32","NODE_1_length_15064_cov_75.0648_g0_i0",0.0740589360416264,1,5.20578813953496,60.8030329293579,2,3.50620787254645,5.52754844812345,3.48957951396697,2.03796893415648,0.947107133082683,2.03796893415648
"33","NODE_1_length_21450_cov_78.6983_g0_i0",0.320831062839379,1,2.27368115675525,80.1457562290292,2,3.65255486300502,7.28597783900265,2.73878225543712,4.54719558356553,0.791096305729822,4.54719558356553
