Probe	BB001_A	BB001_B	BB003_A	BB003_B	BB004_A	BB004_B	BB005_A	BB005_B	BB006_A	BB006_B	BB007_A	BB007_B	BB008_A	BB008_B	BB009_A	BB009_B	BB010_A	BB010_B	BB012_A	BB012_B	BB013_A	BB013_B	BB015_A	BB015_B	BB017_A	BB017_B	BB018_A	BB018_B	BB019_A	BB019_B	BB020_A	BB020_B	BB401_A	BB401_B	BB402_A	BB402_B	BB403_A	BB403_B	BB404_A	BB404_B	BB405_A	BB405_B	BB406_A	BB406_B	BB407_A	BB407_B	BB408_A	BB408_B	BB409_A	BB409_B	BB410_A	BB410_B	BB411_A	BB411_B	BB412_A	BB412_B	BB413_A	BB413_B	BB414_A	BB414_B	BB415_A	BB415_B	BufferOnly_A	BufferOnly_B	BufferOnly_C	BufferOnly_D	BufferOnly_E	BufferOnly_F	BufferOnly_G	BufferOnly_H	BufferOnly_I	BufferOnly_J
NS30_000022	4197	205	87	57	25	2	598	873	10	3	99	794	9568	7969	1381	2232	44	37	1034	1440	34	111	28	64	31	45	572	1641	34	40	109	147	2143	3603	414	312	1378	624	55	45	1994	1566	1308	2008	3707	2890	5588	4824	1798	1855	592	658	111	118	28	18	59	64	72	54	3082	1437	10	3	22	6	19	33	37	25	36	51
NS30_000023	2	4	16	2	5	1	6	4	1	4	32	280	90	56	279	479	27	52	261	468	40	0	61	102	11	11	10	47	99	112	7	41	17	32	110	108	62	40	455	416	224	181	378	460	64	71	1075	1127	878	1108	15	35	50	49	1795	1683	25	11	638	501	680	444	22	3	2	1	17	13	15	9	36	23
NS30_000024	2862	314	1766	812	245	72	997	1138	3866	3312	1546	9376	2268	2150	2269	3692	2019	3093	1345	2021	1485	2703	3045	4320	1341	2171	262	605	757	1499	133	118	933	1969	2336	2456	2398	1204	1847	1781	678	662	3099	3000	2108	2089	3451	3292	2691	3430	2475	2353	2959	3080	8018	8130	1728	2405	1641	1330	879	516	12	14	11	9	23	21	32	24	85	94
NS30_000025	15	0	21	9	4	0	0	4	0	1	3	53	14	0	48	9	18	57	15	49	0	0	66	93	9	17	4	0	5	25	0	0	242	532	35	29	458	232	10	14	10	16	12	33	23	23	407	357	50	69	12	32	48	53	4	2	20	10	37	31	61	21	6	0	7	1	1	3	6	13	19	21
NS30_000026	142	37	72	20	633	194	36	72	12482	11338	53	177	2909	2740	1200	2115	180	213	1628	2104	930	2008	1531	2025	87	140	19	40	232	279	140	137	734	1746	17447	16307	1745	799	1069	1137	453	546	218	344	424	440	8435	7295	2214	3451	665	655	178	170	5174	5423	88	110	14402	12479	984	742	38	37	123	51	92	108	118	175	214	276
NS30_000027	32	21	14	5	276	144	54	41	35	9	32	88	94	48	107	142	75	90	98	92	88	121	39	58	50	38	15	11	30	91	0	72	258	484	931	810	774	397	68	76	157	154	97	139	85	63	92	82	97	90	189	184	119	134	138	211	138	292	78	70	45	12	64	13	79	27	141	100	129	116	241	245
NS30_000028	1	0	9	0	178	56	11	11	8	0	13	114	75	5	73	6	10	11	15	41	91	82	92	184	6	17	6	3	60	62	0	0	18	77	941	962	129	62	28	52	41	31	47	138	56	72	137	133	64	73	78	70	125	134	27	31	1921	2601	55	49	76	18	2	0	15	4	4	14	17	9	23	35
NS30_000029	19	3	145	69	3	1	4	1	9	8	10	41	33	19	24	11	38	54	26	7	54	27	481	698	9	12	0	2	29	22	14	17	14	24	263	216	63	25	11	23	52	52	723	997	207	245	59	67	60	84	134	119	3208	3511	73	58	2179	3260	63	52	128	53	8	2	7	2	12	25	10	19	19	26
NS30_000030	597	74	533	268	55	15	747	860	1864	1845	455	2748	167	180	1480	2462	2016	2709	81	80	7	40	147	137	529	794	12	9	79	126	273	653	309	556	1660	1511	483	230	260	244	366	358	2750	2533	652	612	180	115	306	270	1453	1350	1771	1718	492	425	369	533	199	182	275	139	149	39	126	57	268	253	265	237	499	447
NS30_000031	2	0	2	0	0	0	3	9	10	10	15	56	108	89	72	151	181	108	75	80	72	217	142	142	27	82	10	7	4	11	0	31	28	162	512	436	286	143	43	49	102	90	71	363	51	55	161	81	134	128	61	91	281	247	155	93	42	44	82	113	90	28	6	0	7	3	12	5	7	9	24	18
NS30_000032	305	59	82	28	202	82	80	125	111	121	436	2395	338	214	231	445	301	435	672	1119	266	447	999	1152	98	231	97	227	7	22	90	48	814	1712	341	307	487	242	23	34	391	440	683	768	295	252	1738	1423	139	167	264	283	483	543	382	299	126	127	6260	5503	90	42	7	5	6	3	15	6	16	8	13	5
NS30_000033	15	21	28	3	758	252	194	210	853	1050	17	40	122	110	62	56	38	27	385	716	330	1053	89	101	20	33	8	7	6	40	13	21	98	114	54	43	3506	2250	52	35	24	39	160	175	38	41	2030	2437	124	140	82	65	101	88	14	31	647	961	2997	2432	347	246	18	4	35	13	54	52	45	67	97	47
